salario-generalizado,salario-SP,salario-RJ,salario-MG,salario-PR,salario-RS,salario-SC,salario-ES
2.632,3.316,2.966,2.043,1.728,1.576,2.826,1.677
8.500,9.000,8.500,7.000,7.894,8.207,7.672,6.708
2.170,2.200,2.174,2.203,1.852,2.267,2.257,2.500
7.500,11.237,7.500,4.705,6.351,8.034,5.097,8.000
6.000,6.000,6.940,6.032,5.415,4.997,6.784,5.243
4.486,5.115,5.034,3.716,3.762,3.600,4.824,2.970
12.000,12.737,10.852,11.117,10.509,12.729,13.500,8.472
6.500,6.500,5.500,5.254,5.400,5.200,5.704,5.750
7.500,8.685,7.500,6.790,6.852,7.000,7.000,6.037
12.500,13.650,12.913,11.500,10.104,10.479,11.870,11.559
5.000,5.880,5.029,4.610,4.589,4.901,5.225,5.500
11.884,12.647,11.938,9.129,9.690,11.521,11.171,13.406
10.000,10.170,9.310,9.578,8.500,9.412,9.000,7.692
6.324,7.057,6.161,4.050,12.694,4.860,5.196,Não encontrado
7.000,5.000,6.100,6.658,Não encontrado,21.436,Não encontrado,Não encontrado
4.000,5.400,4.498,4.500,4.062,4.500,4.000,4.054
5.374,5.500,5.500,4.685,5.000,5.578,6.032,4.565
5.342,8.572,5.277,5.300,Não encontrado,7.797,Não encontrado,Não encontrado
Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
4.189,Não encontrado,1.912,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
7.500,8.685,7.500,6.790,6.852,7.000,7.000,6.037
