termo,frequencia
Analista de suporte,4
Analista de suporte de sistemas,1
Analista de Suporte Técnico,1
Especialista em suporte,1
ioasys,1
Lead Back End Developer,1
Lider Técnico Desenvolvimento Software,1
Tech Lead e Especialista em TI (Flutter),1
Consultor de inovação,1
consultor de processos,1
Técnico em Automação,1
Analista de Automação de Testes,1
Analista de Automação de Testes Pleno,1
Analista de qualidade III,1
Analista de Requisitos,1
Analista de Segurança Cibernética,1
Analista de sistemas,2
Analista de Tecnologia da Informação,1
Analista de Testes Pleno I,1
Analista de TI,1
Analista QA Pleno,1
Desenvolvedor .Net,1
Desenvolvedor Back-End,1
Desenvolvedor de aplicativos móveis,2
Desenvolvedor de back end,1
Desenvolvedor de cursos,1
Desenvolvedor de front,2
Desenvolvedor de front-end,2
Desenvolvedor de software,5
Desenvolvedor e Sócio,1
Desenvolvedor Flutter,1
Desenvolvedor Front-end Pleno,1
Desenvolvedor full stack,3
Desenvolvedor para iOS,1
Desenvolvedor RPA,1
Desenvolvedor sênior,1
Desenvolvedor trainee,1
Especialista I de FrontEnd,1
Frontend Engineer,1
Full Stack Developer,1
Senior Magento Developer,1
Tech Content Creator,1
Consultor de inteligência empresarial,1
Diretor de empresa,1
Pequeno empresário,1
Proprietário,1
professor de computação,2
Instrutor de Formação Profissional,1
CEO,1
coordenador de desenvolvimento,1
coordenador de desenvolvimento de software,1
Coordenador de NOC e CGR,1
CTO,1
Executivo de soluções de negócios,1
Gerente de operações,1
Gestor de TI,1
Supervisor de engenharia,1
Engenheiro de software,1
Engenheiro de software sênior,1
Estagiário de projetos,1
Product Owner,1
Senior Software Engineer,2
Software Engineer,1
Software Engineer Technical Lead,1
Assistente administrativo,2
Colaborador,1
Engenheiro de Dados Pleno,1
Senior Data Scientist,1
